	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
152	Allergic Contact Dermatitis (9),Case Report: A 53-year-old man developed anaphylaxis (redness over his entire body and dyspnea) one hour after consuming boiled burdock. His symptoms resolved following treatment (10).	Allergic contact dermatitis,Contact dermatitis,Dermatitis,Anaphylaxis,Redness,Dyspnea,Dyspnoea	Burdock	Hypoglycemics: Theoretically, large doses of burdock may have an additive effect.		Anorexia,Arthritis,Cancer treatment,Diabetes,Eczema,HIV and AIDS,Microbial infections,Promote urination,Psoriasis,Wrinkle reduction	True	True
156	Diarrhea has been frequently reported with the product Cyclo-3, but is less common with use of other formulations of butcher’s broom. (7)	Diarrhoea,Diarrhea	Butcher's Broom	 	 	Circulatory disorders,Constipation,Hemorrhoids,Inflammation,Leg cramps,Lymphedema,Promote urination,Varicose veins	False	False
160	 	 	Butterbur	 	 	Allergic rhinitis,Asthma,Migraine	False	False
164	 	 	CAAT	 	 	Cancer treatment	False	False
168	Life-threatening hypercalcemia/milk-alkali syndrome: Confusion, nausea, vomiting, and weakness in a 64-year-old cancer survivor who took calcium-containing antacid tablets for chronic epigastric pain (60).,Hypercalcemia-induced pancreatitis: Due to oral calcium supplementation in a 42-year-old female (61).	Hypercalcemia,Hypercalcaemia,Milk-alkali syndrome,Confusion,Nausea,Vomiting,Weakness,Cancer,Calcium,Chronic epigastric pain,Epigastric pain,Pain,Pancreatitis,Calcium supplementation	Calcium	Proton Pump Inhibitors: May significantly reduce calcium absorption (62).,Cardiac glycosides: Calcium may increase risk of cardiac arrhythmia, although this is based on intravenous calcium, early case reports, and animal models (64).,Quinolones: Calcium may reduce absorption of quinolones (65).,Tamoxifen: Calcium may increase the risk of hypercalcemia (66).,Tetracyclines: Calcium may reduce absorption of tetracyclines (67).,Levothyroxine (to treat hypothyroidism): Taking calcium carbonate within 4 hours of this drug may decrease its absorption by nearly one-third (68).,Estrogen therapy (for osteoporosis; positive interaction): Supplemental calcium and vitamin D may have additive benefits on bone health (28).,Iron, zinc, or magnesium: Calcium can compete or interfere with their absorption (48) (49).	Calcium,Animal,Tamoxifen,levothyroxine,Calcium Carbonate,Vitamin D,Vitamin,Iron,Zinc,Magnesium	Cancer prevention,Cardiovascular disease,Osteoporosis,Hypertension	True	True
172	In a preliminary study, calcium glucarate was well-tolerated with no toxicity reported (15).	Calcium	Calcium Glucarate	 	 	Cancer prevention,Cancer treatment,Detoxification	False	False
176	Calendula is known to cause allergic reactions (12).		Calendula	 	 	Conjunctivitis,Eczema,GI disorders,Inflammation,Menstrual cramps,Menstrual disorder,Radiation therapy side effects,Spasms,Varicose veins	False	False
180	 	 	Camu-camu	Camu-camu has a high amount of Vitamin C which is an antioxidant. It may interact with certain chemotherapy drugs that rely on the generation of free radicals for their cytotoxic effects.	Ascorbic Acid,Vitamin	Immunostimulation,Depression,Atherosclerosis,Arthritis,Emphysema	False	False
184	 	 	CanCell®	 	 	Alzheimer’s disease,Cancer treatment,Cystic fibrosis,Diabetes,Emphysema,Epilepsy,Hemophilia,Herpes,HIV and AIDS,Hypertension,Hypotension,Multiple sclerosis,Scleroderma,Systemic lupus erythematosus (SLE),Viral infections	False	False
188	"Common (over-the-counter topical): Burning, urticaria and contact dermatitis; mild to moderate coughing (6) (12); pain and pruritus at the application site (40).
Transient (intranasal): Burning sensations, lacrimation, and rhinorrhea (15).
Case Reports
Coronary vasospasm and acute myocardial infarction: Observed in a 29-year-old man following use of a topical capsaicin patch for 6 days. Improvement was seen after treating symptoms and patch removal (30).
Bilateral acute anterior uveitis: Occurred in a 38-year-old woman 1–2 days after application of an analgesic capsaicin patch for muscular neck pain. Inflammation was controlled within 1 week using topical corticosteroids, and there were no further recurrences over long-term follow-up (31).
Application site burns: Cases of serious burns have occurred following use of over-the-counter capsaicin products. In some cases, hospitalization was required. Discontinue use and seek immediate medical attention if pain, swelling, or blistering occur following application (32)."	Urticaria,Contact dermatitis,Dermatitis,Coughing,Pain,Pruritus,Lacrimation,Rhinorrhea,Rhinorrhoea,Coronary vasospasm,Vasospasm,Acute myocardial infarction,Myocardial infarction,Infarction,Anterior uveitis,Uveitis,Neck pain,Inflammation,Hospitalisation,Hospitalization,Swelling,Blistering	Capsaicin	ACE inhibitors: Topical capsaicin induced cough in a patient taking ACE inhibitors (33).,Cytochrome P450 CYP2C19 substrates: Capsaicin inhibits CYP2C19 and can affect the intracellular concentration of drugs metabolized by this enzyme (35).,Cytochrome P450 CYP3A4 substrates: Capsaicin induces CYP3A4, which may increase the clearance of substrate drugs when used concomitantly (35).	Capsaicin,Enzyme	Diabetic neuropathy,Headaches,Herpes zoster neuropathy,HIV neuropathy,Muscle pain,Osteoarthritis,Pruritus,Rheumatoid arthritis,Spasms	True	True
192	"Rare: Dyspepsia, heartburn (5).
Reported: Flu syndrome, injection-site reaction, pain, pharyngitis, headache, diarrhea, and hypertension (6) (9). High oral doses may cause unpleasant body odor (5).
Case Report
Hypoglycemia: In a patient with a rare genetic metabolic disorder who took carnitine supplements (11)."	Dyspepsia,Heartburn,Flu syndrome,Flu,Injection,Pain,Pharyngitis,Headache,Diarrhoea,Diarrhea,Hypertension,Body odor,Hypoglycaemia,Hypoglycemia,Metabolic disorder,Carnitine	Carnitine	Warfarin: L-carnitine may have additive anticoagulant effects when used with warfarin  (24) (51).	Warfarin,Levocarnitine,Carnitine	Alzheimer’s disease,Cardiovascular disease and symptoms,Cancer or AIDS-associated muscle wasting,Chemotherapy side effects,Chronic fatigue syndrome,Diabetes,High cholesterol,Infertility,Strength and stamina	True	True
196	"Reported: Fresh cascara contains anthrones, which may cause vomiting and intestinal cramps.
Toxicity: Excessive use can cause diarrhea and weakness.
 (2) (3)
Rare: Cascara has been associated with cholestatic hepatitis (7).
Case Report: Toxic hepatitis has been been reported with use of cascara (16)."	Vomiting,Intestinal cramps,Cramps,Diarrhoea,Diarrhea,Weakness,Cholestatic hepatitis,Hepatitis	Cascara	P-Glycoprotein (P-Gp): Emodin inhibits the activity of P-Glycoprotein in vitro and in vivo, and may affect the transport of drugs mediated by this protein (22).	Activity	Cancer treatment,Constipation	True	True
200	"GI complaints: nausea, diarrhea, stomach discomfort (25)
Case reports
Acute renal failure: In a patient with systemic lupus erythematosus (SLE) (26).
Worsening motor signs: In a 38-year-old patient with Parkinson’s disease following oral intake of cat’s claw extract, with improvement in symptoms after cessation and withdrawal (27)."	Nausea,Diarrhoea,Diarrhea,Stomach discomfort,Discomfort,Acute renal failure,Renal failure,Systemic lupus erythematosus,Lupus erythematosus,SLE	Cat's Claw	"Anticoagulants, antihypertensives: May increase effects of cardiovascular drugs, including increased risk of bleeding (25) (28).
Cytochrome P450 substrates: Cat’s claw inhibits CYP3A4 in vitro indicating that it may increase the serum levels of drugs such as nonnucleoside reverse-transcriptase inhibitors, cyclosporine, and some benzodiazepines (29).
Protease inhibitors: Cat’s claw was shown to increase the serum concentrations of atazanavir, ritonavir and saquinavir (30)."	Cyclosporine,Atazanavir,Ritonavir,Saquinavir	AIDS,Arthritis,Cancer treatment,Chemotherapy side effects,GI disorders,Inflammation	True	True
204	"Common (oral): GI irritation, referred gastric pain (7).
Case Reports
Arterial hypertension: Reported in two men following ingestion of large amounts of chili peppers (21) (24).
Gastric cell exfoliation and bleeding: Ingestion of dietary capsicum in healthy volunteers caused gastric cell exfoliation and bleeding (25).
Erythematous dermatitis: Reported in two infants shortly after breastfeeding from mothers who had ingested food flavored with red pepper (23)."	GI irritation,Gastric pain,Pain,Hypertension,Cell,Exfoliation,Bleeding,Dermatitis,Food	Cayenne	"ACE inhibitors: Capsaicin may increase the incidence of cough associated with ACE inhibitors (26).
Antihypertensives: Capsaicin may affect their actions (21).
Antiplatelet drugs: Animal models indicate capsaicin has antiplatelet effects (27).
Cytochrome P450 (CYP) 3A substrates: Capsaicin may alter drug absorption and metabolism (22). Immunosuppressants (cyclosporin): Concurrent capsaicin should be avoided for transplant patients in order to minimize the risk for nephrotoxicity, hepatotoxicity and neurotoxicity. In animal models, chronic high-dose capsaicin use increased cyclosporin bioavailability (22).
P-glycoprotein (P-gp) substrates: Capsaicin may alter drug absorption and metabolism (22).
Theophylline: Animal models indicate that concurrent capsaicin administration may increase absorption (28).
Oral co-administration of other drugs: Capsaicin causes mucosal vasodilation, thereby altering the uptake of other drugs (22)."	Capsaicin,Animal,Theophylline	Burning mouth syndrome,Circulatory disorders,Colic,Headaches,High cholesterol,Motion sickness,Mucositis,Spasms,Stomach and intestinal gas,Weight management	True	True
208	Upset stomach,Loose stools	Upset stomach,Loose stools	Cellect	 	 	Cancer treatment,Health maintenance,Immunostimulant	False	False
212	 	 	Cellfood	Theoretically, antioxidants can decrease the efficacy of certain chemotherapy drugs that rely on the generation of free radicals for their cytotoxic effects. Supplements with antioxidant properties are not recommended during chemotherapy and radiotherapy.		Detoxification,Athletic performance enhancement,Cancer prevention,Cancer treatment,Fibromyalgia	False	False
216	"Reported (Oral)
A 52-year-old woman with colon cancer developed syncope, hypokalemia, and ventricular tachycardia with a prolonged QT interval following several weeks of self treatment with 3 grams/day of cesium chloride. The symptoms reduced after four days following cessation of cesium chloride intake (5).
A second case reported in 2004 was that of a 43-year-old woman with brain cancer. She developed symptoms of prolonged QT interval and sustained monomorphic ventricular tachycardia following 10 days of self administration of cesium chloride (9 grams/day). The QT interval returned to normal after six weeks of initial onset of symptoms. The hypokalemia was treated by potassium and magnesium supplementation (3).
A 16-year-old girl with metastatic hepatocellular carcinoma experienced cesium-induced QT-interval prolongation after the start of a cesium chloride-based alternative treatment regimen. The symptoms abated following treatment and discontinuation of cesium chloride (8).
Repeated episodes of torsades de pointes ventricular tachycardia were observed in a 45-year-old woman with metastatic breast cancer patient following ingestion of oral cesium chloride for several months. Her condition improved with treatment and cessation of cesium chloride (9).
A 65-year-old lady experienced recurrent syncope attacks following use of anticancer naturopathic drugs which included one containing 89% Cesium chloride. Her symptoms abated after treatment and discontinuation of cesium intake (10).
A 42-year-old woman who received cesium chloride as a treatment for metastatic breast carcinoma, experienced a seizure, and died 48 hours later. High levels of cesium were found in blood and organs, including her brain (11).
A 61-year-old woman died of cesium chloride toxicity, following intratumoral injection of oral CsCl around a mass in her breast. Prior to the injection, she took CsCl orally for about an year to treat her breast mass (12)."	Colon cancer,Cancer,Syncope,Hypokalemia,Hypokalaemia,Ventricular tachycardia,Tachycardia,QT interval,Chloride,Monomorphic ventricular tachycardia,Potassium,Magnesium supplementation,Magnesium,Hepatocellular carcinoma,Carcinoma,Torsades de pointes,Metastatic breast cancer,Breast cancer,Breast carcinoma,Seizure,Injection,Mass,Breast mass	Cesium Chloride	Cesium use causes hypokalemia that may be exacerbated when taken with drugs such as diuretics and corticosteroids that reduce serum potassium levels (2).	Cesium,Potassium	Cancer treatment	False	False
220	"As there have been no clinical trials to assess chaga’s safety, there is a lack of information with respect to potential side effects.
Case report
Oxalate nephropathy: Associated with the ingestion of chaga mushroom powder (4-5 teaspoons daily for 6 months), in a 72-year-old Japanese woman with liver cancer (24)."	Nephropathy,Cancer	Chaga Mushroom	Antiplatelet or anticoagulant drugs: Chaga extract can inhibit platelet aggregation (2). It may also have additive effects when used with anticoagulant/antiplatelet drugs.,Hypoglycemic agents: In vitro studies suggest that chaga may have additive effects in lowering blood sugar levels (15).		Anti-inflammatory,Cancer treatment and prevention,Hepatoprotective,Immunostimulation	True	True
